Site,PSM #,Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr)
Atlanta,3,1,682.6,1621.72
Atlanta,3,2,682.6,2560.84
Atlanta,3,3,682.6,3030.4
Atlanta,4,1,615.76,1300.08
Atlanta,4,2,615.76,1984.4
Atlanta,4,3,615.76,2326.56
Cincinnati,1,1,697.95,1757.19
Cincinnati,1,2,697.95,2816.43
Cincinnati,1,3,697.95,3346.05
Cincinnati,3,1,794.08,1627.64
Cincinnati,3,2,794.08,2461.2
Cincinnati,3,3,794.08,2877.98
Cincinnati,4,1,803.1,1658.5
Cincinnati,4,2,803.1,2513.9
Cincinnati,4,3,803.1,2941.6
Dallas,3,1,725.5,1573.62
Dallas,3,2,725.5,2421.74
Dallas,3,3,725.5,2845.8
Dallas,4,1,726.08,1770.76
Dallas,4,2,726.08,2815.44
Dallas,4,3,726.08,3337.78
Denver,1,1,829.91,1583.39
Denver,1,2,829.91,2336.87
Denver,1,3,829.91,2713.61
Denver,3,1,617.56,1305.52
Denver,3,2,617.56,1993.48
Denver,3,3,617.56,2337.46
Denver,4,1,615.16,1299.48
Denver,4,2,615.16,1983.8
Denver,4,3,615.16,2325.96
Des Moines,3,1,550.58,1180.3
Des Moines,3,2,550.58,1810.02
Des Moines,3,3,550.58,2124.88
Des Moines,4,1,550.58,1180.3
Des Moines,4,2,550.58,1810.02
Des Moines,4,3,550.58,2124.88
Detroit,1,1,776.52,1613.72
Detroit,1,2,776.52,2450.92
Detroit,1,3,776.52,2869.52
Detroit,3,1,605.2,1467.88
Detroit,3,2,605.2,2330.56
Detroit,3,3,605.2,2761.9
Detroit,4,1,604.12,1466.8
Detroit,4,2,604.12,2329.48
Detroit,4,3,604.12,2760.82
Greensboro,2,1,796.02,1636.86
Greensboro,2,2,796.02,2477.7
Greensboro,2,3,796.02,2898.12
Greensboro,3,1,611.21,1386.53
Greensboro,3,2,611.21,2161.85
Greensboro,3,3,611.21,2549.51
Greensboro,4,1,610.64,1378.68
Greensboro,4,2,610.64,2146.72
Greensboro,4,3,610.64,2530.74
Jacksonville,3,1,1286.41,2596.81
Jacksonville,3,2,1286.41,3907.21
Jacksonville,3,3,1286.41,4562.41
Jacksonville,4,1,1309.04,2615.8
Jacksonville,4,2,1309.04,3922.56
Jacksonville,4,3,1309.04,4575.94
Kansas City,3,1,482.54,1054.02
Kansas City,3,2,482.54,1625.5
Kansas City,3,3,482.54,1911.24
Kansas City,4,1,481.84,1056.96
Kansas City,4,2,481.84,1632.08
Kansas City,4,3,481.84,1919.64
Los Angeles,3,1,510.95,1162.51
Los Angeles,3,2,510.95,1814.07
Los Angeles,3,3,510.95,2139.85
Los Angeles,4,1,513.98,1172.82
Los Angeles,4,2,513.98,1831.66
Los Angeles,4,3,513.98,2161.08
Memphis,3,1,733.96,1491.08
Memphis,3,2,733.96,2248.2
Memphis,3,3,733.96,2626.76
Memphis,4,1,738.31,1506.35
Memphis,4,2,738.31,2274.39
Memphis,4,3,738.31,2658.41
Minn-St.Paul,3,1,611.58,1284.98
Minn-St.Paul,3,2,611.58,1958.38
Minn-St.Paul,3,3,611.58,2295.08
Minn-St.Paul,4,1,611.58,1284.98
Minn-St.Paul,4,2,611.58,1958.38
Minn-St.Paul,4,3,611.58,2295.08
Philadelphia,1,1,701.76,1761
Philadelphia,1,2,701.76,2820.24
Philadelphia,1,3,701.76,3349.86
Philadelphia,3,1,516.42,1328.14
Philadelphia,3,2,516.42,2139.86
Philadelphia,3,3,516.42,2545.72
Philadelphia,4,1,544.1,1330.34
Philadelphia,4,2,544.1,2116.58
Philadelphia,4,3,544.1,2509.7
Pittsburgh,2,1,699.54,1758.78
Pittsburgh,2,2,699.54,2818.02
Pittsburgh,2,3,699.54,3347.64
Pittsburgh,3,1,726.24,1683.56
Pittsburgh,3,2,726.24,2640.88
Pittsburgh,3,3,726.24,3119.54
Pittsburgh,4,1,728.64,1638.64
Pittsburgh,4,2,728.64,2548.64
Pittsburgh,4,3,728.64,3003.64
San Francisco,3,1,547.58,1170.02
San Francisco,3,2,547.58,1792.46
San Francisco,3,3,547.58,2103.68
San Francisco,4,1,547.58,1170.02
San Francisco,4,2,547.58,1792.46
San Francisco,4,3,547.58,2103.68
Seattle,1,1,781.52,1622.36
Seattle,1,2,781.52,2463.2
Seattle,1,3,781.52,2883.62
Seattle,2,1,805.08,1653.2
Seattle,2,2,805.08,2501.32
Seattle,2,3,805.08,2925.38
Seattle,3,1,549.49,1179.21
Seattle,3,2,549.49,1808.93
Seattle,3,3,549.49,2123.79
Seattle,4,1,547.68,1170.12
Seattle,4,2,547.68,1792.56
Seattle,4,3,547.68,2103.78
Springfield,3,1,722.95,1640.23
Springfield,3,2,722.95,2557.51
Springfield,3,3,722.95,3016.15
Springfield,4,1,721.84,1733.76
Springfield,4,2,721.84,2745.68
Springfield,4,3,721.84,3251.64
St. Louis,3,1,490.28,1079.96
St. Louis,3,2,490.28,1669.64
St. Louis,3,3,490.28,1964.48
St. Louis,4,1,493.29,1090.25
St. Louis,4,2,493.29,1687.21
St. Louis,4,3,493.29,1985.69
Washington,3,1,546.25,1671.01
Washington,3,2,546.25,2795.77
Washington,3,3,546.25,3358.15
Washington,4,1,546.73,1183.73
Washington,4,2,546.73,1820.73
Washington,4,3,546.73,2139.23
