Operation (days/wk),Tours/Day,Transports,Inductions,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
6,1,84,4,906.23,271.87,1178.1,117.81,1295.91,176.8,1472.71
6,2,84,4,906.23,271.87,1178.1,117.81,1295.91,353.6,1649.51
6,3,84,4,906.23,271.87,1178.1,117.81,1295.91,442.0,1737.91
6,1,84,5,1117.19,335.16,1452.35,145.24,1597.59,182.0,1779.59
6,2,84,5,1117.19,335.16,1452.35,145.24,1597.59,364.0,1961.59
6,3,84,5,1117.19,335.16,1452.35,145.24,1597.59,455.0,2052.59
6,1,84,6,1371.03,411.31,1782.34,178.23,1960.57,187.2,2147.77
6,2,84,6,1371.03,411.31,1782.34,178.23,1960.57,374.4,2334.97
6,3,84,6,1371.03,411.31,1782.34,178.23,1960.57,468.0,2428.57
7,1,84,4,1050.77,315.23,1366.0,136.6,1502.6,206.27,1708.87
7,2,84,4,1050.77,315.23,1366.0,136.6,1502.6,412.53,1915.13
7,3,84,4,1050.77,315.23,1366.0,136.6,1502.6,515.67,2018.27
7,1,84,5,1296.52,388.96,1685.48,168.55,1854.03,212.33,2066.36
7,2,84,5,1296.52,388.96,1685.48,168.55,1854.03,424.67,2278.7
7,3,84,5,1296.52,388.96,1685.48,168.55,1854.03,530.83,2384.86
7,1,84,6,1592.3,477.69,2069.99,207.0,2276.99,218.4,2495.39
7,2,84,6,1592.3,477.69,2069.99,207.0,2276.99,436.8,2713.79
7,3,84,6,1592.3,477.69,2069.99,207.0,2276.99,546.0,2822.99
6,1,100,4,937.66,281.3,1218.96,121.9,1340.86,176.8,1517.66
6,2,100,4,937.66,281.3,1218.96,121.9,1340.86,353.6,1694.46
6,3,100,4,937.66,281.3,1218.96,121.9,1340.86,442.0,1782.86
7,1,100,4,1087.07,326.12,1413.19,141.32,1554.51,206.27,1760.78
7,2,100,4,1087.07,326.12,1413.19,141.32,1554.51,412.53,1967.04
7,3,100,4,1087.07,326.12,1413.19,141.32,1554.51,515.67,2070.18
6,1,116,4,969.09,290.73,1259.82,125.98,1385.8,176.8,1562.6
6,2,116,4,969.09,290.73,1259.82,125.98,1385.8,353.6,1739.4
6,3,116,4,969.09,290.73,1259.82,125.98,1385.8,442.0,1827.8
7,1,116,4,1123.37,337.01,1460.38,146.04,1606.42,206.27,1812.69
7,2,116,4,1123.37,337.01,1460.38,146.04,1606.42,412.53,2018.95
7,3,116,4,1123.37,337.01,1460.38,146.04,1606.42,515.67,2122.09
6,1,132,4,1000.52,300.16,1300.68,130.07,1430.75,176.8,1607.55
6,2,132,4,1000.52,300.16,1300.68,130.07,1430.75,353.6,1784.35
6,3,132,4,1000.52,300.16,1300.68,130.07,1430.75,442.0,1872.75
7,1,132,4,1159.67,347.9,1507.57,150.76,1658.33,206.27,1864.6
7,2,132,4,1159.67,347.9,1507.57,150.76,1658.33,412.53,2070.86
7,3,132,4,1159.67,347.9,1507.57,150.76,1658.33,515.67,2174.0
6,1,148,4,1031.94,309.58,1341.52,134.15,1475.67,176.8,1652.47
6,2,148,4,1031.94,309.58,1341.52,134.15,1475.67,353.6,1829.27
6,3,148,4,1031.94,309.58,1341.52,134.15,1475.67,442.0,1917.67
7,1,148,4,1195.97,358.79,1554.76,155.48,1710.24,206.27,1916.51
7,2,148,4,1195.97,358.79,1554.76,155.48,1710.24,412.53,2122.77
7,3,148,4,1195.97,358.79,1554.76,155.48,1710.24,515.67,2225.91
6,1,164,4,1063.37,319.01,1382.38,138.24,1520.62,176.8,1697.42
6,2,164,4,1063.37,319.01,1382.38,138.24,1520.62,353.6,1874.22
6,3,164,4,1063.37,319.01,1382.38,138.24,1520.62,442.0,1962.62
7,1,164,4,1232.27,369.68,1601.95,160.2,1762.15,206.27,1968.42
7,2,164,4,1232.27,369.68,1601.95,160.2,1762.15,412.53,2174.68
7,3,164,4,1232.27,369.68,1601.95,160.2,1762.15,515.67,2277.82
6,1,180,4,1128.04,338.41,1466.45,146.65,1613.1,176.8,1789.9
6,2,180,4,1128.04,338.41,1466.45,146.65,1613.1,353.6,1966.7
6,3,180,4,1128.04,338.41,1466.45,146.65,1613.1,442.0,2055.1
7,1,180,4,1268.57,380.57,1649.14,164.91,1814.05,206.27,2020.32
7,2,180,4,1268.57,380.57,1649.14,164.91,1814.05,412.53,2226.58
7,3,180,4,1268.57,380.57,1649.14,164.91,1814.05,515.67,2329.72
6,1,196,4,1165.01,349.5,1514.51,151.45,1665.96,176.8,1842.76
6,2,196,4,1165.01,349.5,1514.51,151.45,1665.96,353.6,2019.56
6,3,196,4,1165.01,349.5,1514.51,151.45,1665.96,442.0,2107.96
7,1,196,4,1304.87,391.46,1696.33,169.63,1865.96,206.27,2072.23
7,2,196,4,1304.87,391.46,1696.33,169.63,1865.96,412.53,2278.49
7,3,196,4,1304.87,391.46,1696.33,169.63,1865.96,515.67,2381.63
